Company Name,URL,Countries,Job Count,Remote Job Count
Oowlish Technology,https://jobs.lever.co/oowlish,"{'México', 'Guayas', 'Francisco Morazán', 'Federal District', 'Rio de Janeiro', 'San Salvador', 'Montevideo', 'São Paulo', 'Managua', 'Cortés', 'Costa Rica', 'Albania', 'Greater Florianopolis', 'Barranquilla Metropolitan Area', 'Asunción', 'Arequipa', 'Mendoza,', 'Community of Madrid', 'Pichincha', 'Cochabamba', 'Bahia', 'Greater Fortaleza', 'Panamá', 'Romania', 'Greece', 'Capital District', 'Jalisco', 'Brazil', 'Greater Porto Alegre', 'San Juan', 'Cordoba', 'Zulia State', 'Buenos Aires Province', 'Distrito Nacional', 'Antioquia', 'Toluca', 'Greater Belo Horizonte', 'Hungary', 'Portugal', 'Greater Recife', 'Guatemala', 'Spain', 'Bulgaria', 'Santiago Metropolitan Area', 'Greater Curitiba', 'Lima', 'Mexico City'}",958,948
Reorg,https://jobs.lever.co/reorgresearch,"{'Hong Kong', 'London', 'US - Remote', 'New York', 'Singapore', 'Pakistan', 'Mumbai'}",45,10
Klick,https://jobs.lever.co/klick,"{'Taiwan', 'Thailand', 'Ontario', 'Pennsylvania', 'Vietnam', 'New York', 'France', 'Singapore', 'Japan', 'Malaysia', 'England', 'United States', 'Germany', 'Canada', 'Indonesia'}",73,8
Betstamp,https://jobs.lever.co/Betstamp,"{'Iowa', 'Nova Scotia', 'Indiana', 'Ohio', 'New Jersey', 'Tennessee', 'British Columbia', 'Illinois', 'New York', 'Kansas', 'Alberta', 'Saskatchewan', 'Manitoba', 'Ontario', 'Michigan', 'Colorado'}",88,84
Ajax Systems,https://jobs.lever.co/ajax,"{'Campania', 'Bucharest', 'Istanbul', 'Lviv', 'Austria', 'Ukraine', 'Rome', 'France', 'Riga', 'Vinnytsia', 'Zakarpattia', 'Sevilla', 'Turkey', 'Greater Uzhgorod Area', 'Germany', 'Bilbo', 'Kyiv City'}",111,9
Yassir,https://jobs.lever.co/Yassir,"{'Tunisia', 'Morocco', 'Nigeria', ' United Arab Emirates', 'United Arab Emirates', 'Germany', 'Egypt', 'United Kingdom', 'Worldwide', 'Gabon', 'Ivory Coast', 'Senegal', 'Ireland', 'BULGARIA', 'France', 'Mali', 'Benin', 'Saudi Arabia', 'Marseille', 'South Africa', 'Remote', 'Algeria', 'Togo', 'Serbia', 'Canada'}",197,46
Highspot,https://jobs.lever.co/highspot,"{'India - Hyderabad', 'Sydney', 'Seattle', 'London', 'BC', 'Canada'}",50,3
ZeroFox,https://jobs.lever.co/zerofox,"{'Santiago', 'MA', 'Dubai', 'Bengaluru', 'London', 'GA', 'TX', 'MD', 'United States', 'OR'}",56,9
Dun & Bradstreet,https://jobs.lever.co/dnb,"{'Brussels - Belgium', 'Reston - Virginia - United States', 'Soborg - Denmark', 'Remote - Wales', 'Solna - Sweden', 'Hyderabad - India', 'Vienna - Austria', 'Darmstadt - Germany', 'Chennai - India', 'Remote - United States', 'Remote - Canada', 'Shanghai - China', 'Changsha - China', 'Prague - Czechia', 'Ljubljana - Slovenia', 'Shenzhen - China', 'Zagreb - Croatia', 'Bengaluru - India', 'Warsaw - Poland', 'Sarajevo - Bosnia and Herzegovina', 'Bratislava - Slovakia', 'Kolkata - India', 'Pune - India', 'Helsinki - Finland', 'Delhi - India', 'Oslo - Norway', 'Belgrade - Serbia', 'London - England', 'Tallinn - Estonia', 'Kwun Tong - Hong Kong', 'Urdorf - Switzerland', 'Austin - Texas - United States', 'Remote - England', 'Dublin - Ireland', 'Ostersund - Sweden', 'Mumbai - India', 'Beijing - China', 'Florham Park (Hybrid) - New Jersey - United States', 'Jacksonville - Florida - United States', 'Taipei - Taiwan', 'Remote - India', 'Austin (Hybrid) - Texas - United States'}",195,13
South West Water,https://jobs.lever.co/southwestwater,"{'Bristol or Exeter', 'Bristol', 'England', 'Devon or Cornwall', 'Bristol & Bournemouth'}",65,1
Kpler,https://jobs.lever.co/kpler,"{'Dubai', 'Houston', 'Brussels', 'Any', 'London', 'Greece', 'Colombia (Remote)', 'Austria', 'Athens', 'New York', 'France', 'Singapore', 'Singapore (Remote)', 'Germany'}",37,5
Granicus,https://jobs.lever.co/granicus,"{'Bengaluru', 'ANZ (Remote)', 'Dallas,TX', 'US - Remote South East', 'United States (Remote)', 'Puerto Rico (Remote)', 'United Kingdom (Remote)', 'D.C.', 'Costa Rica (Remote)', 'Canada (Remote)'}",71,47
Plusgrade,https://jobs.lever.co/plusgrade,"{'Dubai', 'Tel Aviv', 'Remote', 'Singapore', 'Quebec', 'Ontario'}",31,5
Cirque du Soleil Entertainment Group,https://jobs.lever.co/cirquedusoleil,"{'MA', 'VA', 'Sydney', '*En tournée | On tour', 'Knokke-Heist', 'AB', 'Hamburg', 'FL', 'TX', 'AZ', 'IL', 'NV', 'BC', 'PA', 'CO', 'United States', 'NY', 'QC'}",126,7
